"variable","importance"
"stand_age_2006_est",0.0387088618865479
"stand_age_85",0.0346421955368082
"woody_share",0.0336276475858259
"mean_height_85_dm",0.0320108395224169
"basal_area_85",0.0305138704739623
"ofh_weight_kgm2",0.0258398637095997
"EstimatedBulkDensity",0.0191897724143179
"P_seasonality",0.0171769433179868
"SandContent",0.016506577341322
"ExchangeableFe",0.0154802645335999
"lon_WGS84",0.0150616555311065
"SiltContent",0.0148018514546042
"mean_precip_annual",0.0143970546441538
"CoarseFragments",0.0142143927398552
"ExchangeableCa",0.0130765042653579
"warmest_month_T",0.0115026003079913
"litter_A_frac",0.0113561794217423
"GDD5",0.0111082746358608
"clay",0.0107226645530614
"litter_N_frac",0.00999640070010048
"T_seasonality",0.00967094669814403
"CEC",0.00939257058733779
"base_saturation",0.00928215623800704
"pH.CaCl2.",0.00918478097088729
"TotalNitrogen",0.00904701154225213
"temp_sum_NFI",0.00897999620588643
"aridity_index",0.00864453563081792
"litter_E_frac",0.00822261757950793
"CN_ratio",0.00797604936259137
"lat_WGS84",0.00750093896139924
"pH.H2O.",0.00723739443679696
"ExchangeableAl",0.00710859780531473
"litter_W_frac",0.00702828879661285
"any_trt_85_95",0.00668457192109587
"mean_temp",0.00662343466912933
"elevation_m",0.00657400907334576
"conifer_share",0.0063356847233457
"coldest_month_T",0.00631051877502726
"dev_class_85",0.00443703570349402
"soil_prep_pre85",0.00384046998525047
"kasvup_tyyppi",0.00273231438266481
"temp_zone",0.0024543634941172
"soil_code",0.00243062253384602
"kasvyo_ahti",0.00238590084007645
"n_cuts_85_95",0.00215432584332909
"TexturalClass",0.0020430784409328
"species_code",0.0015256277674784
"KA",0.00101063124134301
"kasvyo_syke",0.000952457352068141
"ojitustilanne",0.000516074800405656
"alaryhma",0
"shallow",-5.46240909381384e-05
"any_cut_85_95",-5.64289046152466e-05
"profile_depth_cm",-9.77768128126884e-05
"koppen_class",-0.000198496323407023
