==========================================================
  SP1  Chain 2 / 4
  Run ID:  20260511_154325
  Started: 2026-05-11 15:48:30.823208
  Plots:   50 | Iter: 4000 | Cores: 11
==========================================================

Initial ll at best_x: -7021.445

[15:48:45]  eval   200  |  ll:  -3522.076  |  14.04 eval/s  |  0.2 min  |  -Inf: 0
[15:48:58]  eval   400  |  ll:   -699.947  |  14.33 eval/s  |  0.5 min  |  -Inf: 0
[15:49:12]  eval   600  |  ll:   -706.750  |  14.34 eval/s  |  0.7 min  |  -Inf: 0
[15:49:27]  eval   800  |  ll:   -705.155  |  14.27 eval/s  |  0.9 min  |  -Inf: 0
[15:49:41]  eval  1000  |  ll:   -728.658  |  14.21 eval/s  |  1.2 min  |  -Inf: 0
[15:49:55]  eval  1200  |  ll:   -703.311  |  14.14 eval/s  |  1.4 min  |  -Inf: 0
[15:50:09]  eval  1400  |  ll:   -702.817  |  14.17 eval/s  |  1.6 min  |  -Inf: 0
[15:50:23]  eval  1600  |  ll:  -1128.348  |  14.20 eval/s  |  1.9 min  |  -Inf: 0
[15:50:37]  eval  1800  |  ll:   -736.738  |  14.24 eval/s  |  2.1 min  |  -Inf: 0
[15:50:51]  eval  2000  |  ll:   -699.605  |  14.24 eval/s  |  2.3 min  |  -Inf: 0
[15:51:05]  eval  2200  |  ll:   -701.995  |  14.22 eval/s  |  2.6 min  |  -Inf: 0
[15:51:19]  eval  2400  |  ll:   -699.649  |  14.21 eval/s  |  2.8 min  |  -Inf: 0
[15:51:34]  eval  2600  |  ll:   -702.646  |  14.20 eval/s  |  3.1 min  |  -Inf: 0
[15:51:48]  eval  2800  |  ll:   -700.255  |  14.16 eval/s  |  3.3 min  |  -Inf: 0
[15:52:02]  eval  3000  |  ll:   -703.014  |  14.19 eval/s  |  3.5 min  |  -Inf: 0
[15:52:16]  eval  3200  |  ll:   -762.632  |  14.20 eval/s  |  3.8 min  |  -Inf: 0
[15:52:30]  eval  3400  |  ll:   -709.814  |  14.22 eval/s  |  4.0 min  |  -Inf: 0
[15:52:44]  eval  3600  |  ll:   -702.253  |  14.21 eval/s  |  4.2 min  |  -Inf: 0
[15:52:58]  eval  3800  |  ll:   -704.379  |  14.20 eval/s  |  4.5 min  |  -Inf: 0
[15:53:12]  eval  4000  |  ll:   -702.440  |  14.20 eval/s  |  4.7 min  |  -Inf: 0

Chain 2 finished: 2026-05-11 15:53:12.821914  (4.7 min)
Total evaluations: 4002  |  -Inf rejects: 0 (0.00%)
