==========================================================
  SP1  Chain 3 / 4
  Run ID:  20260511_154325
  Started: 2026-05-11 15:53:12.833581
  Plots:   50 | Iter: 4000 | Cores: 11
==========================================================

Initial ll at best_x: -7021.445

[15:53:26]  eval   200  |  ll:   -711.945  |  14.41 eval/s  |  0.2 min  |  -Inf: 0
[15:53:40]  eval   400  |  ll:   -737.140  |  14.38 eval/s  |  0.5 min  |  -Inf: 0
[15:53:54]  eval   600  |  ll:   -705.458  |  14.35 eval/s  |  0.7 min  |  -Inf: 0
[15:54:08]  eval   800  |  ll:   -704.506  |  14.35 eval/s  |  0.9 min  |  -Inf: 0
[15:54:22]  eval  1000  |  ll:   -701.202  |  14.35 eval/s  |  1.2 min  |  -Inf: 0
[15:54:36]  eval  1200  |  ll:   -701.944  |  14.40 eval/s  |  1.4 min  |  -Inf: 0
[15:54:49]  eval  1400  |  ll:   -712.891  |  14.44 eval/s  |  1.6 min  |  -Inf: 0
[15:55:03]  eval  1600  |  ll:   -737.821  |  14.44 eval/s  |  1.8 min  |  -Inf: 0
[15:55:17]  eval  1800  |  ll:   -713.126  |  14.43 eval/s  |  2.1 min  |  -Inf: 1
[15:55:31]  eval  2000  |  ll:   -778.252  |  14.43 eval/s  |  2.3 min  |  -Inf: 1
[15:55:43]  eval  2200  |  ll:   -720.161  |  14.59 eval/s  |  2.5 min  |  -Inf: 2
[15:55:57]  eval  2400  |  ll:   -701.488  |  14.55 eval/s  |  2.7 min  |  -Inf: 2
[15:56:11]  eval  2600  |  ll:   -701.927  |  14.55 eval/s  |  3.0 min  |  -Inf: 2
[15:56:25]  eval  2800  |  ll:   -705.298  |  14.53 eval/s  |  3.2 min  |  -Inf: 2
[15:56:39]  eval  3000  |  ll:   -757.899  |  14.49 eval/s  |  3.5 min  |  -Inf: 2
[15:56:54]  eval  3200  |  ll:   -704.120  |  14.47 eval/s  |  3.7 min  |  -Inf: 2
[15:57:08]  eval  3400  |  ll:   -703.796  |  14.43 eval/s  |  3.9 min  |  -Inf: 2
[15:57:22]  eval  3600  |  ll: -759997706611906.250  |  14.44 eval/s  |  4.2 min  |  -Inf: 2
[15:57:35]  eval  3800  |  ll:   -736.390  |  14.45 eval/s  |  4.4 min  |  -Inf: 2
[15:57:49]  eval  4000  |  ll:   -715.981  |  14.44 eval/s  |  4.6 min  |  -Inf: 3

Chain 3 finished: 2026-05-11 15:57:50.137784  (4.6 min)
Total evaluations: 4002  |  -Inf rejects: 3 (0.07%)
