==========================================================
  TP2  Chain 1 / 4
  Run ID:  20260512_074048
  Started: 2026-05-12 07:41:05.882859
  Plots:   447 | Iter: 10000 | Cores: 11
==========================================================

Initial ll at best_x: -10810.999

[07:41:27]  eval   200  |  ll:  -6274.825  |  9.42 eval/s  |  0.4 min  |  -Inf: 0
[07:41:46]  eval   400  |  ll:  -6259.672  |  9.88 eval/s  |  0.7 min  |  -Inf: 0
[07:42:05]  eval   600  |  ll:  -6981.967  |  10.04 eval/s  |  1.0 min  |  -Inf: 0
[07:42:24]  eval   800  |  ll: -10243.838  |  10.13 eval/s  |  1.3 min  |  -Inf: 0
[07:42:43]  eval  1000  |  ll:  -6390.171  |  10.23 eval/s  |  1.6 min  |  -Inf: 2
[07:43:02]  eval  1200  |  ll:  -6346.387  |  10.27 eval/s  |  1.9 min  |  -Inf: 10
[07:43:22]  eval  1400  |  ll:  -6154.208  |  10.28 eval/s  |  2.3 min  |  -Inf: 12
[07:43:40]  eval  1600  |  ll:  -6274.854  |  10.33 eval/s  |  2.6 min  |  -Inf: 12
[07:44:00]  eval  1800  |  ll:  -6154.432  |  10.34 eval/s  |  2.9 min  |  -Inf: 12
[07:44:19]  eval  2000  |  ll:  -6271.711  |  10.32 eval/s  |  3.2 min  |  -Inf: 12
[07:44:38]  eval  2200  |  ll: -11073.805  |  10.34 eval/s  |  3.5 min  |  -Inf: 13
[07:44:58]  eval  2400  |  ll:  -6453.381  |  10.34 eval/s  |  3.9 min  |  -Inf: 13
[07:45:17]  eval  2600  |  ll: -10668.826  |  10.34 eval/s  |  4.2 min  |  -Inf: 13
[07:45:36]  eval  2800  |  ll:  -6264.434  |  10.36 eval/s  |  4.5 min  |  -Inf: 13
[07:45:56]  eval  3000  |  ll:  -6183.389  |  10.33 eval/s  |  4.8 min  |  -Inf: 13
[07:46:16]  eval  3200  |  ll: -17477.752  |  10.30 eval/s  |  5.2 min  |  -Inf: 13
[07:46:37]  eval  3400  |  ll:  -6027.610  |  10.27 eval/s  |  5.5 min  |  -Inf: 16
[07:46:56]  eval  3600  |  ll:  -6028.740  |  10.26 eval/s  |  5.8 min  |  -Inf: 17
[07:47:16]  eval  3800  |  ll: -339608.697  |  10.25 eval/s  |  6.2 min  |  -Inf: 18
[07:47:36]  eval  4000  |  ll:  -6043.725  |  10.25 eval/s  |  6.5 min  |  -Inf: 19
