==========================================================
  Yasso20  Chain 1 / 4
  Run ID:  20260507_100220
  Started: 2026-05-07 10:03:04.159109
  Plots:   350 | Iter: 10000 | Cores: 39
==========================================================

Initial ll at best_x: -4708.556

[10:04:04]  eval   200  |  ll:  -4096.395  |  3.31 eval/s  |  1.0 min  |  -Inf: 1
[10:05:12]  eval   400  |  ll:  -4056.646  |  3.13 eval/s  |  2.1 min  |  -Inf: 4
[10:06:20]  eval   600  |  ll:  -4135.247  |  3.07 eval/s  |  3.3 min  |  -Inf: 13
[10:07:29]  eval   800  |  ll:       -Inf  |  3.02 eval/s  |  4.4 min  |  -Inf: 39
[10:08:39]  eval  1000  |  ll:  -4041.729  |  2.99 eval/s  |  5.6 min  |  -Inf: 82
[10:09:49]  eval  1200  |  ll:  -3923.346  |  2.96 eval/s  |  6.7 min  |  -Inf: 147
[10:10:59]  eval  1400  |  ll:  -3985.914  |  2.95 eval/s  |  7.9 min  |  -Inf: 192
[10:12:08]  eval  1600  |  ll: -13279.282  |  2.94 eval/s  |  9.1 min  |  -Inf: 231
[10:13:18]  eval  1800  |  ll:       -Inf  |  2.93 eval/s  |  10.2 min  |  -Inf: 284
[10:14:27]  eval  2000  |  ll:       -Inf  |  2.93 eval/s  |  11.4 min  |  -Inf: 333
[10:15:37]  eval  2200  |  ll:  -7285.507  |  2.92 eval/s  |  12.6 min  |  -Inf: 377
[10:16:47]  eval  2400  |  ll:  -8317.167  |  2.92 eval/s  |  13.7 min  |  -Inf: 414
[10:17:56]  eval  2600  |  ll: -13868.824  |  2.92 eval/s  |  14.9 min  |  -Inf: 461
[10:19:06]  eval  2800  |  ll:  -3895.123  |  2.91 eval/s  |  16.0 min  |  -Inf: 506
[10:20:16]  eval  3000  |  ll:  -3872.670  |  2.91 eval/s  |  17.2 min  |  -Inf: 544
[10:21:25]  eval  3200  |  ll:       -Inf  |  2.90 eval/s  |  18.4 min  |  -Inf: 578
[10:22:35]  eval  3400  |  ll:  -3876.924  |  2.90 eval/s  |  19.5 min  |  -Inf: 618
[10:23:44]  eval  3600  |  ll:  -3923.177  |  2.90 eval/s  |  20.7 min  |  -Inf: 661
[10:24:55]  eval  3800  |  ll:  -3864.958  |  2.90 eval/s  |  21.8 min  |  -Inf: 683
[10:26:04]  eval  4000  |  ll:  -3908.802  |  2.90 eval/s  |  23.0 min  |  -Inf: 694
[10:27:14]  eval  4200  |  ll:  -3891.962  |  2.90 eval/s  |  24.2 min  |  -Inf: 705
[10:28:24]  eval  4400  |  ll:  -3855.012  |  2.89 eval/s  |  25.3 min  |  -Inf: 712
[10:29:34]  eval  4600  |  ll:  -3856.114  |  2.89 eval/s  |  26.5 min  |  -Inf: 715
[10:30:44]  eval  4800  |  ll:  -4433.619  |  2.89 eval/s  |  27.7 min  |  -Inf: 717
[10:31:55]  eval  5000  |  ll:  -4580.168  |  2.89 eval/s  |  28.8 min  |  -Inf: 722
[10:33:05]  eval  5200  |  ll:  -3901.937  |  2.89 eval/s  |  30.0 min  |  -Inf: 725
[10:34:15]  eval  5400  |  ll:  -3924.572  |  2.89 eval/s  |  31.2 min  |  -Inf: 728
[10:35:26]  eval  5600  |  ll:  -4045.333  |  2.88 eval/s  |  32.4 min  |  -Inf: 730
[10:36:36]  eval  5800  |  ll:  -3879.681  |  2.88 eval/s  |  33.5 min  |  -Inf: 735
[10:37:47]  eval  6000  |  ll:  -4009.491  |  2.88 eval/s  |  34.7 min  |  -Inf: 738
[10:38:57]  eval  6200  |  ll:  -3837.915  |  2.88 eval/s  |  35.9 min  |  -Inf: 740
[10:40:07]  eval  6400  |  ll:  -4047.430  |  2.88 eval/s  |  37.1 min  |  -Inf: 742
[10:41:18]  eval  6600  |  ll:  -3958.080  |  2.88 eval/s  |  38.2 min  |  -Inf: 746
[10:42:29]  eval  6800  |  ll:  -4007.540  |  2.87 eval/s  |  39.4 min  |  -Inf: 751
[10:43:40]  eval  7000  |  ll:  -3836.086  |  2.87 eval/s  |  40.6 min  |  -Inf: 754
[10:44:51]  eval  7200  |  ll:  -3923.593  |  2.87 eval/s  |  41.8 min  |  -Inf: 765
[10:46:01]  eval  7400  |  ll:  -3839.427  |  2.87 eval/s  |  43.0 min  |  -Inf: 768
[10:47:12]  eval  7600  |  ll:  -4020.750  |  2.87 eval/s  |  44.1 min  |  -Inf: 773
[10:48:23]  eval  7800  |  ll:  -3832.535  |  2.87 eval/s  |  45.3 min  |  -Inf: 776
[10:49:34]  eval  8000  |  ll:  -5111.308  |  2.87 eval/s  |  46.5 min  |  -Inf: 780
[10:50:44]  eval  8200  |  ll:  -4201.088  |  2.87 eval/s  |  47.7 min  |  -Inf: 792
[10:51:55]  eval  8400  |  ll:  -3861.277  |  2.87 eval/s  |  48.8 min  |  -Inf: 817
[10:53:06]  eval  8600  |  ll:  -3936.704  |  2.86 eval/s  |  50.0 min  |  -Inf: 841
[10:54:17]  eval  8800  |  ll:       -Inf  |  2.86 eval/s  |  51.2 min  |  -Inf: 869
[10:55:28]  eval  9000  |  ll:  -3825.430  |  2.86 eval/s  |  52.4 min  |  -Inf: 899
[10:56:38]  eval  9200  |  ll:       -Inf  |  2.86 eval/s  |  53.6 min  |  -Inf: 937
[10:57:49]  eval  9400  |  ll:  -3816.222  |  2.86 eval/s  |  54.8 min  |  -Inf: 968
[10:59:01]  eval  9600  |  ll:  -3822.666  |  2.86 eval/s  |  55.9 min  |  -Inf: 996
[11:00:12]  eval  9800  |  ll:  -3924.547  |  2.86 eval/s  |  57.1 min  |  -Inf: 1040
[11:01:23]  eval 10000  |  ll:  -3889.621  |  2.86 eval/s  |  58.3 min  |  -Inf: 1084

Chain 1 finished: 2026-05-07 11:01:24.216867  (58.3 min)
Total evaluations: 10002  |  -Inf rejects: 1085 (10.85%)
