==========================================================
  Yasso20  Chain 4 / 4
  Run ID:  20260504_135309
  Started: 2026-05-04 14:44:51.994821
  Plots:   40 | Iter: 10000 | Cores: 11
==========================================================

Initial ll at best_x: -536.018

[14:45:12]  eval   200  |  ll:   -532.293  |  9.98 eval/s  |  0.3 min  |  -Inf: 0
[14:45:32]  eval   400  |  ll:   -515.246  |  9.99 eval/s  |  0.7 min  |  -Inf: 7
[14:45:51]  eval   600  |  ll:   -539.745  |  10.09 eval/s  |  1.0 min  |  -Inf: 21
[14:46:10]  eval   800  |  ll:   -701.955  |  10.18 eval/s  |  1.3 min  |  -Inf: 34
[14:46:30]  eval  1000  |  ll:   -508.253  |  10.19 eval/s  |  1.6 min  |  -Inf: 53
[14:46:49]  eval  1200  |  ll:       -Inf  |  10.20 eval/s  |  2.0 min  |  -Inf: 78
[14:47:09]  eval  1400  |  ll:   -507.817  |  10.22 eval/s  |  2.3 min  |  -Inf: 88
[14:47:29]  eval  1600  |  ll:   -508.399  |  10.20 eval/s  |  2.6 min  |  -Inf: 97
[14:47:48]  eval  1800  |  ll:   -505.345  |  10.20 eval/s  |  2.9 min  |  -Inf: 119
[14:48:08]  eval  2000  |  ll:   -695.264  |  10.20 eval/s  |  3.3 min  |  -Inf: 151
[14:48:27]  eval  2200  |  ll:   -552.512  |  10.20 eval/s  |  3.6 min  |  -Inf: 183
[14:48:46]  eval  2400  |  ll:   -563.624  |  10.22 eval/s  |  3.9 min  |  -Inf: 204
[14:49:05]  eval  2600  |  ll:   -506.529  |  10.24 eval/s  |  4.2 min  |  -Inf: 236
[14:49:24]  eval  2800  |  ll:   -503.387  |  10.28 eval/s  |  4.5 min  |  -Inf: 267
[14:49:42]  eval  3000  |  ll:       -Inf  |  10.32 eval/s  |  4.8 min  |  -Inf: 312
[14:50:01]  eval  3200  |  ll:   -499.958  |  10.33 eval/s  |  5.2 min  |  -Inf: 354
[14:50:21]  eval  3400  |  ll:   -508.210  |  10.33 eval/s  |  5.5 min  |  -Inf: 409
[14:50:40]  eval  3600  |  ll:       -Inf  |  10.35 eval/s  |  5.8 min  |  -Inf: 464
[14:50:59]  eval  3800  |  ll:   -787.072  |  10.35 eval/s  |  6.1 min  |  -Inf: 508
[14:51:18]  eval  4000  |  ll:   -644.267  |  10.36 eval/s  |  6.4 min  |  -Inf: 549
[14:51:37]  eval  4200  |  ll:   -498.987  |  10.36 eval/s  |  6.8 min  |  -Inf: 609
[14:51:56]  eval  4400  |  ll:       -Inf  |  10.36 eval/s  |  7.1 min  |  -Inf: 675
[14:52:15]  eval  4600  |  ll:   -499.718  |  10.37 eval/s  |  7.4 min  |  -Inf: 735
[14:52:35]  eval  4800  |  ll:   -497.636  |  10.36 eval/s  |  7.7 min  |  -Inf: 781
[14:52:54]  eval  5000  |  ll:   -509.996  |  10.36 eval/s  |  8.0 min  |  -Inf: 818
[14:53:15]  eval  5200  |  ll:   -494.629  |  10.33 eval/s  |  8.4 min  |  -Inf: 858
[14:53:34]  eval  5400  |  ll:   -507.305  |  10.33 eval/s  |  8.7 min  |  -Inf: 896
[14:53:54]  eval  5600  |  ll:   -498.234  |  10.33 eval/s  |  9.0 min  |  -Inf: 931
[14:54:13]  eval  5800  |  ll:   -548.226  |  10.33 eval/s  |  9.4 min  |  -Inf: 957
[14:54:33]  eval  6000  |  ll:   -507.860  |  10.32 eval/s  |  9.7 min  |  -Inf: 991
[14:54:53]  eval  6200  |  ll:       -Inf  |  10.31 eval/s  |  10.0 min  |  -Inf: 1044
[14:55:12]  eval  6400  |  ll:   -511.154  |  10.32 eval/s  |  10.3 min  |  -Inf: 1111
[14:55:32]  eval  6600  |  ll:       -Inf  |  10.31 eval/s  |  10.7 min  |  -Inf: 1163
[14:55:51]  eval  6800  |  ll:       -Inf  |  10.32 eval/s  |  11.0 min  |  -Inf: 1223
[14:56:11]  eval  7000  |  ll:   -494.449  |  10.31 eval/s  |  11.3 min  |  -Inf: 1295
[14:56:30]  eval  7200  |  ll:   -504.569  |  10.31 eval/s  |  11.6 min  |  -Inf: 1365
[14:56:49]  eval  7400  |  ll:   -494.502  |  10.31 eval/s  |  12.0 min  |  -Inf: 1436
[14:57:09]  eval  7600  |  ll:       -Inf  |  10.31 eval/s  |  12.3 min  |  -Inf: 1501
[14:57:29]  eval  7800  |  ll:   -607.625  |  10.31 eval/s  |  12.6 min  |  -Inf: 1559
[14:57:48]  eval  8000  |  ll:       -Inf  |  10.31 eval/s  |  12.9 min  |  -Inf: 1629
[14:58:07]  eval  8200  |  ll:   -499.110  |  10.31 eval/s  |  13.3 min  |  -Inf: 1684
[14:58:27]  eval  8400  |  ll:   -504.828  |  10.30 eval/s  |  13.6 min  |  -Inf: 1763
[14:58:46]  eval  8600  |  ll:   -502.419  |  10.30 eval/s  |  13.9 min  |  -Inf: 1813
[14:59:07]  eval  8800  |  ll:       -Inf  |  10.28 eval/s  |  14.3 min  |  -Inf: 1869
[14:59:26]  eval  9000  |  ll:   -489.482  |  10.29 eval/s  |  14.6 min  |  -Inf: 1941
[14:59:44]  eval  9200  |  ll:   -502.227  |  10.31 eval/s  |  14.9 min  |  -Inf: 1984
[15:00:02]  eval  9400  |  ll:       -Inf  |  10.33 eval/s  |  15.2 min  |  -Inf: 2053
[15:00:20]  eval  9600  |  ll:   -490.105  |  10.34 eval/s  |  15.5 min  |  -Inf: 2118
[15:00:38]  eval  9800  |  ll:   -505.674  |  10.36 eval/s  |  15.8 min  |  -Inf: 2183
[15:00:56]  eval 10000  |  ll:   -504.281  |  10.37 eval/s  |  16.1 min  |  -Inf: 2246

Chain 4 finished: 2026-05-04 15:00:56.875259  (16.1 min)
Total evaluations: 10002  |  -Inf rejects: 2247 (22.47%)
