==========================================================
  Yasso07  Chain 4 / 4
  Run ID:  20260429_134421
  Started: 2026-04-29 15:25:04.180031
  Plots:   20 | Iter: 10000 | Cores: 11
==========================================================

Initial ll at best_x: -284.789

[15:25:45]  eval   200  |  ll:   -282.653  |  4.88 eval/s  |  0.7 min  |  -Inf: 28
[15:26:24]  eval   400  |  ll:   -289.634  |  5.01 eval/s  |  1.3 min  |  -Inf: 41
[15:27:01]  eval   600  |  ll:   -272.786  |  5.11 eval/s  |  2.0 min  |  -Inf: 54
[15:27:40]  eval   800  |  ll:   -272.472  |  5.14 eval/s  |  2.6 min  |  -Inf: 57
[15:28:17]  eval  1000  |  ll:   -267.081  |  5.17 eval/s  |  3.2 min  |  -Inf: 60
[15:28:58]  eval  1200  |  ll:   -318.990  |  5.12 eval/s  |  3.9 min  |  -Inf: 64
[15:29:40]  eval  1400  |  ll:   -265.053  |  5.07 eval/s  |  4.6 min  |  -Inf: 72
[15:30:24]  eval  1600  |  ll:   -429.197  |  5.00 eval/s  |  5.3 min  |  -Inf: 78
[15:31:04]  eval  1800  |  ll:   -280.743  |  5.00 eval/s  |  6.0 min  |  -Inf: 93
[15:31:42]  eval  2000  |  ll:       -Inf  |  5.02 eval/s  |  6.6 min  |  -Inf: 109
[15:32:20]  eval  2200  |  ll:   -266.688  |  5.04 eval/s  |  7.3 min  |  -Inf: 122
[16:10:52]  eval  2400  |  ll:   -275.818  |  0.87 eval/s  |  45.8 min  |  -Inf: 137
[18:34:54]  eval  2600  |  ll:   -263.116  |  0.23 eval/s  |  189.8 min  |  -Inf: 175
[19:35:32]  eval  2800  |  ll:   -280.549  |  0.19 eval/s  |  250.5 min  |  -Inf: 195
[21:37:27]  eval  3000  |  ll:   -285.720  |  0.13 eval/s  |  372.4 min  |  -Inf: 217
[22:38:31]  eval  3200  |  ll:   -262.780  |  0.12 eval/s  |  433.5 min  |  -Inf: 220
[23:43:17]  eval  3400  |  ll:   -273.942  |  0.11 eval/s  |  498.2 min  |  -Inf: 236
[01:41:48]  eval  3600  |  ll:   -269.506  |  0.10 eval/s  |  616.7 min  |  -Inf: 243
[03:00:13]  eval  3800  |  ll:   -315.811  |  0.09 eval/s  |  695.2 min  |  -Inf: 253
[04:44:47]  eval  4000  |  ll:   -265.958  |  0.08 eval/s  |  799.7 min  |  -Inf: 258
[06:47:03]  eval  4200  |  ll:   -269.416  |  0.08 eval/s  |  922.0 min  |  -Inf: 260
[07:07:28]  eval  4400  |  ll:   -267.662  |  0.08 eval/s  |  942.4 min  |  -Inf: 264
[07:08:06]  eval  4600  |  ll:   -256.136  |  0.08 eval/s  |  943.0 min  |  -Inf: 269
[07:08:44]  eval  4800  |  ll:   -270.931  |  0.08 eval/s  |  943.7 min  |  -Inf: 271
[07:09:20]  eval  5000  |  ll:   -259.154  |  0.09 eval/s  |  944.3 min  |  -Inf: 282
[07:09:57]  eval  5200  |  ll:   -261.705  |  0.09 eval/s  |  944.9 min  |  -Inf: 298
[07:10:33]  eval  5400  |  ll:   -263.661  |  0.10 eval/s  |  945.5 min  |  -Inf: 307
[07:11:08]  eval  5600  |  ll:   -273.099  |  0.10 eval/s  |  946.1 min  |  -Inf: 320
[07:11:41]  eval  5800  |  ll:  -1020.203  |  0.10 eval/s  |  946.6 min  |  -Inf: 333
[07:12:15]  eval  6000  |  ll:       -Inf  |  0.11 eval/s  |  947.2 min  |  -Inf: 342
[07:12:50]  eval  6200  |  ll:   -271.995  |  0.11 eval/s  |  947.8 min  |  -Inf: 365
[07:13:25]  eval  6400  |  ll:   -265.399  |  0.11 eval/s  |  948.4 min  |  -Inf: 375
[07:14:00]  eval  6600  |  ll:   -266.186  |  0.12 eval/s  |  948.9 min  |  -Inf: 383
[07:14:34]  eval  6800  |  ll:   -265.970  |  0.12 eval/s  |  949.5 min  |  -Inf: 396
[07:15:07]  eval  7000  |  ll:   -271.861  |  0.12 eval/s  |  950.1 min  |  -Inf: 400
[07:15:41]  eval  7200  |  ll:       -Inf  |  0.13 eval/s  |  950.6 min  |  -Inf: 417
[07:16:15]  eval  7400  |  ll:   -338.935  |  0.13 eval/s  |  951.2 min  |  -Inf: 431
[07:16:50]  eval  7600  |  ll:   -284.224  |  0.13 eval/s  |  951.8 min  |  -Inf: 436
