"variable","importance"
"basal_area_85",0.0704057128914331
"TotalNitrogen",0.0416926077321218
"clay",0.0355293070804789
"woody_share",0.0278683420427629
"ExchangeableAl",0.0275640089722275
"SandContent",0.0270575497494091
"dev_class_85",0.0269918933013718
"CEC",0.0256433611033539
"SiltContent",0.0251073134243664
"warmest_month_T",0.0242165259713807
"coldest_month_T",0.0225132472686322
"GDD5",0.0221931834015782
"lat_WGS84",0.0208197585443284
"litter_N_frac",0.020741954082228
"T_seasonality",0.0198805983615372
"mean_temp",0.0191295345584625
"litter_W_frac",0.018095984216347
"ofh_weight_kgm2",0.0167078812793731
"temp_sum_NFI",0.0163537494461224
"lon_WGS84",0.0157037870122425
"CoarseFragments",0.0154249028428134
"P_seasonality",0.01531014293946
"base_saturation",0.0151035957084679
"mean_precip_annual",0.0139993682819994
"aridity_index",0.0135795414217198
"ExchangeableCa",0.0133629389371489
"elevation_m",0.0132954185235288
"litter_A_frac",0.0132149589986037
"litter_E_frac",0.0120454273049201
"EstimatedBulkDensity",0.0116813518398071
"conifer_share",0.0114042363695942
"CN_ratio",0.0110673978870789
"ExchangeableFe",0.0105240067155933
"pH.H2O.",0.00796398503553966
"pH.CaCl2.",0.00785047873527806
"soil_code",0.00519869175439306
"TexturalClass",0.00470124038957642
"kasvyo_ahti",0.00460388498979562
"kasvyo_syke",0.00404424697355675
"species_code",0.00326919103859157
"kasvup_tyyppi",0.00325749805155368
"any_cut_85_95",0.00299172173527218
"n_cuts_85_95",0.00284689507705448
"temp_zone",0.00266680115690632
"KA",0.00159375115423991
"soil_prep_pre85",0.0015351733425571
"ojitustilanne",0.00147179237055004
"n_soc_obs",0.00104933394210798
"any_trt_85_95",0.000725171317243272
"koppen_class",0.000562673774083068
"profile_depth_cm",0.000322429056851828
"shallow",0.000120823260496246
"alaryhma",5.65458439253319e-05
"ofh_lower_cm",0
