"variable","importance"
"basal_area_85",0.080311456504594
"TotalNitrogen",0.0415639286999552
"woody_share",0.0350754407247356
"clay",0.0336031399190482
"dev_class_85",0.0329003121030759
"ExchangeableAl",0.0288091723684525
"CEC",0.0270693952537817
"SiltContent",0.0264012968943563
"SandContent",0.0257958765983191
"warmest_month_T",0.0236736384218112
"coldest_month_T",0.023465094939435
"litter_N_frac",0.0229631438985918
"litter_W_frac",0.0226123758325108
"T_seasonality",0.0218467787167912
"GDD5",0.021670831538836
"lat_WGS84",0.0214513910478062
"mean_temp",0.0195644396206353
"aridity_index",0.016108624202265
"CoarseFragments",0.0158305911936471
"mean_precip_annual",0.0157841840642866
"lon_WGS84",0.0154942943228864
"ofh_weight_kgm2",0.015462338556178
"base_saturation",0.0146914204065183
"temp_sum_NFI",0.0146609275538412
"elevation_m",0.0143790273742895
"P_seasonality",0.0139619503622453
"litter_E_frac",0.013835003355398
"ExchangeableCa",0.0134890276353455
"litter_A_frac",0.0122002512891466
"EstimatedBulkDensity",0.0121746310198448
"ExchangeableFe",0.0115927641725678
"conifer_share",0.0112259552637146
"CN_ratio",0.0101065588195675
"pH.CaCl2.",0.00846207663416161
"pH.H2O.",0.00845484632402825
"TexturalClass",0.0054566429076108
"soil_code",0.00545649344853544
"kasvyo_syke",0.00458394308101738
"kasvyo_ahti",0.00448897707962783
"kasvup_tyyppi",0.00434490396989964
"n_cuts_85_95",0.00356855692010154
"soil_prep_pre85",0.00349960917755306
"any_cut_85_95",0.00321009924256115
"temp_zone",0.00296243351920312
"species_code",0.00197047699564969
"ojitustilanne",0.0016491693615995
"KA",0.00152005456149818
"n_soc_obs",0.00114088404756956
"koppen_class",0.0009734540046874
"any_trt_85_95",0.000931331317363902
"profile_depth_cm",0.000390212582815305
"alaryhma",0.000162757448234503
"shallow",5.78360053421845e-05
"ofh_lower_cm",0
