"variable","importance"
"basal_area_85",0.0839136225611715
"TotalNitrogen",0.0446423127166115
"woody_share",0.0356017387546306
"clay",0.0340001712878875
"dev_class_85",0.0316860073044533
"litter_N_frac",0.0303175066468002
"ExchangeableAl",0.0292816178586991
"CEC",0.0265786742008557
"litter_W_frac",0.0263465269984606
"SiltContent",0.0260242249322715
"SandContent",0.0258892735405223
"lat_WGS84",0.0209427966338531
"warmest_month_T",0.0188558692011498
"GDD5",0.0187904126235002
"base_saturation",0.0178415702704079
"mean_temp",0.0176946694264917
"coldest_month_T",0.0175142227220782
"CoarseFragments",0.017266238724905
"ofh_weight_kgm2",0.0162990565272649
"T_seasonality",0.0153763556404076
"litter_E_frac",0.0151128973786565
"aridity_index",0.0150320616559216
"litter_A_frac",0.0148758261879246
"temp_sum_NFI",0.0148673389305097
"EstimatedBulkDensity",0.0145140215260613
"mean_precip_annual",0.0144273892161783
"P_seasonality",0.0141968754569998
"ExchangeableCa",0.0136978084534757
"conifer_share",0.0135815215039716
"lon_WGS84",0.0130863239848696
"elevation_m",0.0126656281857512
"ExchangeableFe",0.0123163246099377
"CN_ratio",0.0106040312314654
"pH.CaCl2.",0.00825151778196398
"pH.H2O.",0.00791403800782325
"n_cuts_85_95",0.00676228814279626
"soil_code",0.00611525171304061
"any_cut_85_95",0.004872309273666
"TexturalClass",0.00483055382690604
"kasvup_tyyppi",0.00478625538793844
"kasvyo_ahti",0.0043382482181822
"kasvyo_syke",0.00367716478249474
"soil_prep_pre85",0.00363831891156104
"temp_zone",0.00280532105465864
"species_code",0.00271370379271092
"KA",0.00184127797021902
"ojitustilanne",0.00161090031976486
"any_trt_85_95",0.00131728055964769
"koppen_class",0.000972161671830838
"n_soc_obs",0.000903557338636268
"profile_depth_cm",0.00027809323841133
"alaryhma",0.000184714119387228
"shallow",0.000143438192665527
"ofh_lower_cm",0
