==========================================================
  SP1  Chain 1 / 4
  Run ID:  20260519_154223
  Started: 2026-05-19 15:42:39.276596
  Plots:   447 | Iter: 1000 | Cores: 11
==========================================================

Initial ll at best_x: -33745.082

[15:42:41]  eval    20  |  ll: -69128.679  |  11.90 eval/s  |  0.0 min  |  -Inf: 0
[15:42:42]  eval    40  |  ll:  -7515.789  |  12.60 eval/s  |  0.1 min  |  -Inf: 0
[15:42:44]  eval    60  |  ll:  -6318.281  |  12.93 eval/s  |  0.1 min  |  -Inf: 0
[15:42:45]  eval    80  |  ll:  -7064.223  |  13.29 eval/s  |  0.1 min  |  -Inf: 0
[15:42:46]  eval   100  |  ll:  -6721.735  |  13.64 eval/s  |  0.1 min  |  -Inf: 0
[15:42:47]  eval   120  |  ll:  -7089.040  |  13.91 eval/s  |  0.1 min  |  -Inf: 0
[15:42:49]  eval   140  |  ll: -16140.053  |  14.00 eval/s  |  0.2 min  |  -Inf: 0
[15:42:51]  eval   160  |  ll:  -6191.850  |  13.34 eval/s  |  0.2 min  |  -Inf: 0
[15:42:53]  eval   180  |  ll:  -6457.270  |  12.96 eval/s  |  0.2 min  |  -Inf: 0
[15:42:54]  eval   200  |  ll:  -6252.803  |  12.88 eval/s  |  0.3 min  |  -Inf: 0
[15:42:56]  eval   220  |  ll: -10723.029  |  12.85 eval/s  |  0.3 min  |  -Inf: 0
[15:42:58]  eval   240  |  ll:  -9314.975  |  12.81 eval/s  |  0.3 min  |  -Inf: 0
[15:42:59]  eval   260  |  ll:  -6384.661  |  12.82 eval/s  |  0.3 min  |  -Inf: 0
[15:43:01]  eval   280  |  ll: -6237770.784  |  12.83 eval/s  |  0.4 min  |  -Inf: 0
[15:43:02]  eval   300  |  ll:  -7781.785  |  12.81 eval/s  |  0.4 min  |  -Inf: 0
[15:43:04]  eval   320  |  ll:  -6240.221  |  12.83 eval/s  |  0.4 min  |  -Inf: 0
[15:43:05]  eval   340  |  ll:  -6622.978  |  12.82 eval/s  |  0.4 min  |  -Inf: 0
[15:43:07]  eval   360  |  ll:  -6168.225  |  12.81 eval/s  |  0.5 min  |  -Inf: 0
[15:43:09]  eval   380  |  ll: -314051.895  |  12.82 eval/s  |  0.5 min  |  -Inf: 0
[15:43:10]  eval   400  |  ll:  -6257.605  |  12.83 eval/s  |  0.5 min  |  -Inf: 0
[15:43:12]  eval   420  |  ll:  -6135.933  |  12.79 eval/s  |  0.5 min  |  -Inf: 0
[15:43:14]  eval   440  |  ll:  -6130.026  |  12.54 eval/s  |  0.6 min  |  -Inf: 0
[15:43:16]  eval   460  |  ll:  -7433.066  |  12.55 eval/s  |  0.6 min  |  -Inf: 0
[15:43:17]  eval   480  |  ll:  -6221.377  |  12.57 eval/s  |  0.6 min  |  -Inf: 0
[15:43:19]  eval   500  |  ll:  -6145.853  |  12.58 eval/s  |  0.7 min  |  -Inf: 0
[15:43:20]  eval   520  |  ll:  -6423.439  |  12.59 eval/s  |  0.7 min  |  -Inf: 0
[15:43:22]  eval   540  |  ll:  -6259.828  |  12.59 eval/s  |  0.7 min  |  -Inf: 0
[15:43:23]  eval   560  |  ll:  -6170.844  |  12.60 eval/s  |  0.7 min  |  -Inf: 0
[15:43:25]  eval   580  |  ll:  -6538.922  |  12.62 eval/s  |  0.8 min  |  -Inf: 0
[15:43:26]  eval   600  |  ll:  -6243.733  |  12.61 eval/s  |  0.8 min  |  -Inf: 0
[15:43:28]  eval   620  |  ll:  -6117.160  |  12.61 eval/s  |  0.8 min  |  -Inf: 0
[15:43:30]  eval   640  |  ll:  -6115.914  |  12.61 eval/s  |  0.8 min  |  -Inf: 0
[15:43:31]  eval   660  |  ll:  -6536.481  |  12.62 eval/s  |  0.9 min  |  -Inf: 0
[15:43:33]  eval   680  |  ll:  -6140.306  |  12.63 eval/s  |  0.9 min  |  -Inf: 0
[15:43:35]  eval   700  |  ll:  -6122.585  |  12.52 eval/s  |  0.9 min  |  -Inf: 0
[15:43:37]  eval   720  |  ll:  -6140.092  |  12.43 eval/s  |  1.0 min  |  -Inf: 0
[15:43:38]  eval   740  |  ll:  -6112.996  |  12.43 eval/s  |  1.0 min  |  -Inf: 0
[15:43:40]  eval   760  |  ll:  -6117.618  |  12.43 eval/s  |  1.0 min  |  -Inf: 0
[15:43:42]  eval   780  |  ll:  -6128.483  |  12.43 eval/s  |  1.0 min  |  -Inf: 0
[15:43:43]  eval   800  |  ll:  -6280.644  |  12.45 eval/s  |  1.1 min  |  -Inf: 0
[15:43:45]  eval   820  |  ll:  -6134.565  |  12.46 eval/s  |  1.1 min  |  -Inf: 0
[15:43:46]  eval   840  |  ll:  -6115.835  |  12.47 eval/s  |  1.1 min  |  -Inf: 0
[15:43:48]  eval   860  |  ll:  -7296.542  |  12.49 eval/s  |  1.1 min  |  -Inf: 0
[15:43:49]  eval   880  |  ll:  -6117.290  |  12.48 eval/s  |  1.2 min  |  -Inf: 0
[15:43:51]  eval   900  |  ll:  -6162.578  |  12.46 eval/s  |  1.2 min  |  -Inf: 0
[15:43:53]  eval   920  |  ll:  -6122.041  |  12.44 eval/s  |  1.2 min  |  -Inf: 0
[15:43:55]  eval   940  |  ll:  -6120.248  |  12.43 eval/s  |  1.3 min  |  -Inf: 0
