==========================================================
  SP1  Chain 2 / 4
  Run ID:  20260519_154223
  Started: 2026-05-19 15:44:01.066898
  Plots:   447 | Iter: 1000 | Cores: 11
==========================================================

Initial ll at best_x: -33745.082

[15:44:02]  eval    20  |  ll:  -6385.806  |  11.59 eval/s  |  0.0 min  |  -Inf: 0
[15:44:04]  eval    40  |  ll:  -6259.649  |  11.30 eval/s  |  0.1 min  |  -Inf: 0
[15:44:06]  eval    60  |  ll:  -6391.702  |  11.33 eval/s  |  0.1 min  |  -Inf: 0
[15:44:08]  eval    80  |  ll:  -6389.681  |  11.45 eval/s  |  0.1 min  |  -Inf: 0
[15:44:09]  eval   100  |  ll:  -7225.010  |  11.66 eval/s  |  0.1 min  |  -Inf: 0
[15:44:11]  eval   120  |  ll:  -7313.581  |  11.70 eval/s  |  0.2 min  |  -Inf: 0
[15:44:13]  eval   140  |  ll:  -6246.796  |  11.75 eval/s  |  0.2 min  |  -Inf: 0
[15:44:14]  eval   160  |  ll:  -6218.759  |  11.98 eval/s  |  0.2 min  |  -Inf: 0
[15:44:16]  eval   180  |  ll:  -6210.184  |  11.84 eval/s  |  0.3 min  |  -Inf: 0
[15:44:18]  eval   200  |  ll:  -6242.040  |  11.64 eval/s  |  0.3 min  |  -Inf: 0
[15:44:19]  eval   220  |  ll:  -6214.814  |  11.79 eval/s  |  0.3 min  |  -Inf: 0
[15:44:21]  eval   240  |  ll:  -6504.209  |  11.96 eval/s  |  0.3 min  |  -Inf: 0
[15:44:22]  eval   260  |  ll:  -6423.833  |  12.13 eval/s  |  0.4 min  |  -Inf: 0
[15:44:23]  eval   280  |  ll:  -6184.816  |  12.33 eval/s  |  0.4 min  |  -Inf: 0
[15:44:25]  eval   300  |  ll:  -6203.029  |  12.51 eval/s  |  0.4 min  |  -Inf: 0
[15:44:26]  eval   320  |  ll:  -6304.540  |  12.58 eval/s  |  0.4 min  |  -Inf: 0
[15:44:27]  eval   340  |  ll:  -6284.708  |  12.73 eval/s  |  0.4 min  |  -Inf: 0
[15:44:29]  eval   360  |  ll: -25541.431  |  12.86 eval/s  |  0.5 min  |  -Inf: 0
[15:44:30]  eval   380  |  ll:  -6388.062  |  12.99 eval/s  |  0.5 min  |  -Inf: 0
[15:44:31]  eval   400  |  ll:  -6152.482  |  13.08 eval/s  |  0.5 min  |  -Inf: 0
[15:44:33]  eval   420  |  ll:  -6324.495  |  13.19 eval/s  |  0.5 min  |  -Inf: 0
[15:44:34]  eval   440  |  ll:  -6228.088  |  13.23 eval/s  |  0.6 min  |  -Inf: 0
