==========================================================
  TP2  Chain 3 / 4
  Run ID:  20260519_154728
  Started: 2026-05-19 15:50:32.058836
  Plots:   447 | Iter: 1000 | Cores: 11
==========================================================

Initial ll at best_x: -10862.734

[15:50:33]  eval    20  |  ll:  -6543.968  |  11.83 eval/s  |  0.0 min  |  -Inf: 0
[15:50:35]  eval    40  |  ll:  -6400.548  |  12.43 eval/s  |  0.1 min  |  -Inf: 0
[15:50:36]  eval    60  |  ll: -17343.066  |  12.63 eval/s  |  0.1 min  |  -Inf: 0
[15:50:38]  eval    80  |  ll:  -6554.472  |  12.79 eval/s  |  0.1 min  |  -Inf: 0
[15:50:40]  eval   100  |  ll:  -6321.918  |  12.56 eval/s  |  0.1 min  |  -Inf: 0
[15:50:42]  eval   120  |  ll:  -6463.027  |  11.33 eval/s  |  0.2 min  |  -Inf: 0
[15:50:44]  eval   140  |  ll:  -8677.746  |  11.02 eval/s  |  0.2 min  |  -Inf: 0
[15:50:46]  eval   160  |  ll:  -6377.029  |  11.16 eval/s  |  0.2 min  |  -Inf: 0
[15:50:48]  eval   180  |  ll:  -6234.868  |  11.30 eval/s  |  0.3 min  |  -Inf: 0
[15:50:49]  eval   200  |  ll:  -6664.683  |  11.43 eval/s  |  0.3 min  |  -Inf: 0
[15:50:51]  eval   220  |  ll:  -6208.999  |  11.46 eval/s  |  0.3 min  |  -Inf: 0
[15:50:52]  eval   240  |  ll:  -6255.958  |  11.51 eval/s  |  0.3 min  |  -Inf: 0
[15:50:54]  eval   260  |  ll:  -6231.037  |  11.60 eval/s  |  0.4 min  |  -Inf: 0
[15:50:56]  eval   280  |  ll:  -6204.515  |  11.70 eval/s  |  0.4 min  |  -Inf: 0
[15:50:57]  eval   300  |  ll:  -6197.916  |  11.75 eval/s  |  0.4 min  |  -Inf: 0
[15:50:59]  eval   320  |  ll:  -6199.941  |  11.82 eval/s  |  0.5 min  |  -Inf: 0
[15:51:00]  eval   340  |  ll:  -6211.401  |  11.89 eval/s  |  0.5 min  |  -Inf: 0
[15:51:02]  eval   360  |  ll:  -6364.625  |  11.94 eval/s  |  0.5 min  |  -Inf: 0
[15:51:04]  eval   380  |  ll:  -6366.734  |  11.73 eval/s  |  0.5 min  |  -Inf: 0
[15:51:06]  eval   400  |  ll:  -6631.144  |  11.60 eval/s  |  0.6 min  |  -Inf: 0
[15:51:08]  eval   420  |  ll:  -6678.656  |  11.64 eval/s  |  0.6 min  |  -Inf: 0
[15:51:09]  eval   440  |  ll: -10635.990  |  11.71 eval/s  |  0.6 min  |  -Inf: 0
[15:51:11]  eval   460  |  ll:  -7254.697  |  11.77 eval/s  |  0.7 min  |  -Inf: 0
[15:51:12]  eval   480  |  ll:  -6574.667  |  11.83 eval/s  |  0.7 min  |  -Inf: 0
[15:51:14]  eval   500  |  ll:  -6130.620  |  11.87 eval/s  |  0.7 min  |  -Inf: 0
[15:51:15]  eval   520  |  ll: -11364.747  |  11.93 eval/s  |  0.7 min  |  -Inf: 0
[15:51:17]  eval   540  |  ll:  -7359.985  |  11.99 eval/s  |  0.8 min  |  -Inf: 0
[15:51:18]  eval   560  |  ll: -10276.073  |  12.03 eval/s  |  0.8 min  |  -Inf: 0
[15:51:20]  eval   580  |  ll:  -7380.947  |  12.08 eval/s  |  0.8 min  |  -Inf: 0
[15:51:21]  eval   600  |  ll:  -6110.471  |  12.13 eval/s  |  0.8 min  |  -Inf: 0
[15:51:23]  eval   620  |  ll:  -7292.156  |  12.14 eval/s  |  0.9 min  |  -Inf: 0
[15:51:25]  eval   640  |  ll:  -6174.939  |  12.01 eval/s  |  0.9 min  |  -Inf: 0
[15:51:27]  eval   660  |  ll:  -6134.422  |  11.95 eval/s  |  0.9 min  |  -Inf: 0
[15:51:28]  eval   680  |  ll:  -6117.818  |  11.97 eval/s  |  0.9 min  |  -Inf: 0
[15:51:30]  eval   700  |  ll:  -7499.912  |  11.99 eval/s  |  1.0 min  |  -Inf: 0
[15:51:32]  eval   720  |  ll:  -6109.437  |  12.02 eval/s  |  1.0 min  |  -Inf: 0
[15:51:33]  eval   740  |  ll:  -6731.900  |  12.04 eval/s  |  1.0 min  |  -Inf: 0
[15:51:35]  eval   760  |  ll:  -9388.461  |  12.04 eval/s  |  1.1 min  |  -Inf: 0
[15:51:36]  eval   780  |  ll:  -6238.090  |  12.05 eval/s  |  1.1 min  |  -Inf: 0
