==========================================================
  TP2  Chain 4 / 4
  Run ID:  20260519_154728
  Started: 2026-05-19 15:51:55.416594
  Plots:   447 | Iter: 1000 | Cores: 11
==========================================================

Initial ll at best_x: -10862.734

[15:51:57]  eval    20  |  ll: -1510037.914  |  13.09 eval/s  |  0.0 min  |  -Inf: 0
[15:51:58]  eval    40  |  ll:  -6711.220  |  12.98 eval/s  |  0.1 min  |  -Inf: 0
[15:52:00]  eval    60  |  ll: -74994.443  |  13.16 eval/s  |  0.1 min  |  -Inf: 0
[15:52:01]  eval    80  |  ll:  -6321.777  |  12.83 eval/s  |  0.1 min  |  -Inf: 0
[15:52:04]  eval   100  |  ll:  -6765.945  |  11.54 eval/s  |  0.1 min  |  -Inf: 0
[15:52:06]  eval   120  |  ll:  -6316.178  |  11.25 eval/s  |  0.2 min  |  -Inf: 0
[15:52:07]  eval   140  |  ll: -26061.710  |  11.42 eval/s  |  0.2 min  |  -Inf: 0
[15:52:09]  eval   160  |  ll:  -6328.423  |  11.60 eval/s  |  0.2 min  |  -Inf: 0
[15:52:10]  eval   180  |  ll:  -6343.454  |  11.77 eval/s  |  0.3 min  |  -Inf: 0
[15:52:12]  eval   200  |  ll:  -6305.331  |  11.90 eval/s  |  0.3 min  |  -Inf: 0
[15:52:13]  eval   220  |  ll:  -6353.636  |  11.99 eval/s  |  0.3 min  |  -Inf: 0
[15:52:15]  eval   240  |  ll:  -6398.860  |  12.11 eval/s  |  0.3 min  |  -Inf: 0
[15:52:16]  eval   260  |  ll:  -6335.681  |  12.23 eval/s  |  0.4 min  |  -Inf: 0
[15:52:18]  eval   280  |  ll:  -6438.376  |  12.33 eval/s  |  0.4 min  |  -Inf: 0
[15:52:19]  eval   300  |  ll:  -6332.619  |  12.39 eval/s  |  0.4 min  |  -Inf: 0
[15:52:21]  eval   320  |  ll: -11278.527  |  12.46 eval/s  |  0.4 min  |  -Inf: 0
[15:52:22]  eval   340  |  ll:  -6318.211  |  12.45 eval/s  |  0.5 min  |  -Inf: 0
[15:52:24]  eval   360  |  ll:  -6307.317  |  12.21 eval/s  |  0.5 min  |  -Inf: 0
[15:52:26]  eval   380  |  ll:  -6271.290  |  12.12 eval/s  |  0.5 min  |  -Inf: 0
[15:52:28]  eval   400  |  ll:  -6392.578  |  12.16 eval/s  |  0.5 min  |  -Inf: 0
[15:52:29]  eval   420  |  ll:  -6649.743  |  12.20 eval/s  |  0.6 min  |  -Inf: 0
[15:52:31]  eval   440  |  ll:  -6391.856  |  12.23 eval/s  |  0.6 min  |  -Inf: 0
