==========================================================
  Yasso07  Chain 3 / 5
  Run ID:  20260601_135824
  Started: 2026-06-01 19:46:10.94577
  Plots:   358 | Iter: 50000 | Cores: 11
==========================================================

Initial ll at best_x: -5200.527

[19:46:58]  eval   200  |  ll:  -6703.953  |  4.27 eval/s  |  0.8 min  |  -Inf: 0
[19:47:44]  eval   400  |  ll:  -5046.230  |  4.31 eval/s  |  1.5 min  |  -Inf: 0
[19:48:32]  eval   600  |  ll:  -4986.334  |  4.24 eval/s  |  2.4 min  |  -Inf: 0
[19:49:19]  eval   800  |  ll:  -5856.656  |  4.25 eval/s  |  3.1 min  |  -Inf: 0
[19:50:03]  eval  1000  |  ll:  -4955.276  |  4.30 eval/s  |  3.9 min  |  -Inf: 0
[19:50:48]  eval  1200  |  ll:  -4917.182  |  4.32 eval/s  |  4.6 min  |  -Inf: 0
[19:51:33]  eval  1400  |  ll:  -4930.591  |  4.35 eval/s  |  5.4 min  |  -Inf: 0
[19:52:22]  eval  1600  |  ll:  -4896.572  |  4.31 eval/s  |  6.2 min  |  -Inf: 0
[19:53:06]  eval  1800  |  ll:  -4918.549  |  4.33 eval/s  |  6.9 min  |  -Inf: 1
[19:53:52]  eval  2000  |  ll:  -4910.181  |  4.34 eval/s  |  7.7 min  |  -Inf: 1
[19:54:37]  eval  2200  |  ll:  -4898.036  |  4.35 eval/s  |  8.4 min  |  -Inf: 1
[19:55:21]  eval  2400  |  ll:  -4940.440  |  4.36 eval/s  |  9.2 min  |  -Inf: 1
[19:56:11]  eval  2600  |  ll:  -4896.281  |  4.33 eval/s  |  10.0 min  |  -Inf: 1
[19:56:56]  eval  2800  |  ll:  -5005.268  |  4.34 eval/s  |  10.8 min  |  -Inf: 1
[19:57:43]  eval  3000  |  ll:  -4888.752  |  4.33 eval/s  |  11.5 min  |  -Inf: 1
[19:58:30]  eval  3200  |  ll:  -4926.009  |  4.33 eval/s  |  12.3 min  |  -Inf: 1
[19:59:17]  eval  3400  |  ll:  -4899.345  |  4.33 eval/s  |  13.1 min  |  -Inf: 1
[20:00:07]  eval  3600  |  ll:  -4891.060  |  4.30 eval/s  |  13.9 min  |  -Inf: 1
[20:00:52]  eval  3800  |  ll:  -4891.688  |  4.31 eval/s  |  14.7 min  |  -Inf: 1
[20:01:38]  eval  4000  |  ll:  -4938.039  |  4.31 eval/s  |  15.5 min  |  -Inf: 1
[20:02:23]  eval  4200  |  ll:  -4891.774  |  4.32 eval/s  |  16.2 min  |  -Inf: 1
[20:03:09]  eval  4400  |  ll:  -4901.683  |  4.32 eval/s  |  17.0 min  |  -Inf: 2
[20:03:58]  eval  4600  |  ll:  -4912.554  |  4.31 eval/s  |  17.8 min  |  -Inf: 2
[20:04:43]  eval  4800  |  ll:  -4891.155  |  4.32 eval/s  |  18.5 min  |  -Inf: 2
[20:05:27]  eval  5000  |  ll:  -4932.259  |  4.32 eval/s  |  19.3 min  |  -Inf: 2
[20:06:12]  eval  5200  |  ll:  -4920.121  |  4.33 eval/s  |  20.0 min  |  -Inf: 2
[20:07:58]  eval  5400  |  ll:  -4891.870  |  4.13 eval/s  |  21.8 min  |  -Inf: 2
[20:08:34]  eval  5600  |  ll:  -4892.303  |  4.17 eval/s  |  22.4 min  |  -Inf: 2
