==========================================================
  Yasso07  Chain 4 / 4
  Run ID:  20260519_155317
  Started: 2026-05-19 16:00:46.965458
  Plots:   447 | Iter: 1000 | Cores: 11
==========================================================

Initial ll at best_x: -6613.732

[16:00:50]  eval    20  |  ll:  -6566.537  |  6.12 eval/s  |  0.1 min  |  -Inf: 0
[16:00:53]  eval    40  |  ll:  -6404.861  |  5.84 eval/s  |  0.1 min  |  -Inf: 0
[16:00:57]  eval    60  |  ll:  -9244.269  |  5.73 eval/s  |  0.2 min  |  -Inf: 0
[16:01:00]  eval    80  |  ll:  -6421.404  |  5.81 eval/s  |  0.2 min  |  -Inf: 0
[16:01:03]  eval   100  |  ll:  -6329.475  |  6.06 eval/s  |  0.3 min  |  -Inf: 0
[16:01:06]  eval   120  |  ll:  -7518.938  |  6.26 eval/s  |  0.3 min  |  -Inf: 0
[16:01:08]  eval   140  |  ll:  -6571.296  |  6.44 eval/s  |  0.4 min  |  -Inf: 0
[16:01:11]  eval   160  |  ll:  -6330.395  |  6.56 eval/s  |  0.4 min  |  -Inf: 0
[16:01:14]  eval   180  |  ll:  -6301.895  |  6.68 eval/s  |  0.4 min  |  -Inf: 0
[16:01:16]  eval   200  |  ll:  -6308.106  |  6.76 eval/s  |  0.5 min  |  -Inf: 0
[16:01:19]  eval   220  |  ll:  -6480.019  |  6.84 eval/s  |  0.5 min  |  -Inf: 0
[16:01:21]  eval   240  |  ll:  -6298.616  |  6.91 eval/s  |  0.6 min  |  -Inf: 0
[16:01:24]  eval   260  |  ll:  -6285.306  |  6.87 eval/s  |  0.6 min  |  -Inf: 0
[16:01:28]  eval   280  |  ll:  -6272.943  |  6.83 eval/s  |  0.7 min  |  -Inf: 0
[16:01:31]  eval   300  |  ll:  -6444.070  |  6.79 eval/s  |  0.7 min  |  -Inf: 0
[16:01:34]  eval   320  |  ll:  -6236.474  |  6.79 eval/s  |  0.8 min  |  -Inf: 0
[16:01:36]  eval   340  |  ll:  -6215.304  |  6.82 eval/s  |  0.8 min  |  -Inf: 0
[16:01:39]  eval   360  |  ll:  -6229.463  |  6.87 eval/s  |  0.9 min  |  -Inf: 0
[16:01:42]  eval   380  |  ll:  -6244.606  |  6.90 eval/s  |  0.9 min  |  -Inf: 0
[16:01:44]  eval   400  |  ll:  -6213.295  |  6.93 eval/s  |  1.0 min  |  -Inf: 0
[16:01:47]  eval   420  |  ll:  -6334.398  |  6.96 eval/s  |  1.0 min  |  -Inf: 0
[16:01:50]  eval   440  |  ll:  -6224.464  |  6.99 eval/s  |  1.0 min  |  -Inf: 0
[16:01:52]  eval   460  |  ll:  -6347.578  |  7.01 eval/s  |  1.1 min  |  -Inf: 0
[16:01:55]  eval   480  |  ll:  -6213.948  |  7.03 eval/s  |  1.1 min  |  -Inf: 0
[16:01:58]  eval   500  |  ll:  -6262.695  |  7.00 eval/s  |  1.2 min  |  -Inf: 0
[16:02:01]  eval   520  |  ll:  -6204.348  |  6.96 eval/s  |  1.2 min  |  -Inf: 0
[16:02:05]  eval   540  |  ll:  -6241.601  |  6.92 eval/s  |  1.3 min  |  -Inf: 0
[16:02:07]  eval   560  |  ll:  -6213.233  |  6.94 eval/s  |  1.3 min  |  -Inf: 0
[16:02:10]  eval   580  |  ll:  -6216.170  |  6.95 eval/s  |  1.4 min  |  -Inf: 0
[16:02:13]  eval   600  |  ll:  -6205.049  |  6.98 eval/s  |  1.4 min  |  -Inf: 0
[16:02:15]  eval   620  |  ll:  -6736.584  |  6.99 eval/s  |  1.5 min  |  -Inf: 0
[16:02:18]  eval   640  |  ll:  -6211.505  |  7.01 eval/s  |  1.5 min  |  -Inf: 0
[16:02:20]  eval   660  |  ll:  -6197.526  |  7.03 eval/s  |  1.6 min  |  -Inf: 0
[16:02:23]  eval   680  |  ll:  -6294.738  |  7.05 eval/s  |  1.6 min  |  -Inf: 0
[16:02:26]  eval   700  |  ll:  -6194.230  |  7.07 eval/s  |  1.7 min  |  -Inf: 0
[16:02:28]  eval   720  |  ll:  -6175.905  |  7.07 eval/s  |  1.7 min  |  -Inf: 0
[16:02:32]  eval   740  |  ll:  -6223.296  |  7.04 eval/s  |  1.8 min  |  -Inf: 0
[16:02:35]  eval   760  |  ll:  -6416.555  |  7.02 eval/s  |  1.8 min  |  -Inf: 0
[16:02:38]  eval   780  |  ll:  -6264.440  |  7.00 eval/s  |  1.9 min  |  -Inf: 0
[16:02:41]  eval   800  |  ll:  -6201.839  |  7.01 eval/s  |  1.9 min  |  -Inf: 0
[16:02:44]  eval   820  |  ll:  -6188.137  |  7.01 eval/s  |  1.9 min  |  -Inf: 0
[16:02:46]  eval   840  |  ll:  -6188.586  |  7.02 eval/s  |  2.0 min  |  -Inf: 0
[16:02:49]  eval   860  |  ll: -20954.740  |  7.03 eval/s  |  2.0 min  |  -Inf: 0
[16:02:52]  eval   880  |  ll:  -6179.947  |  7.05 eval/s  |  2.1 min  |  -Inf: 0
[16:02:54]  eval   900  |  ll:  -6224.586  |  7.06 eval/s  |  2.1 min  |  -Inf: 0
[16:02:57]  eval   920  |  ll:  -6517.441  |  7.07 eval/s  |  2.2 min  |  -Inf: 0
[16:02:59]  eval   940  |  ll:  -6374.492  |  7.08 eval/s  |  2.2 min  |  -Inf: 0
[16:03:02]  eval   960  |  ll:  -6207.854  |  7.07 eval/s  |  2.3 min  |  -Inf: 0
[16:03:06]  eval   980  |  ll:  -6197.070  |  7.04 eval/s  |  2.3 min  |  -Inf: 0
[16:03:09]  eval  1000  |  ll:  -6306.954  |  7.02 eval/s  |  2.4 min  |  -Inf: 0

Chain 4 finished: 2026-05-19 16:03:09.955214  (2.4 min)
Total evaluations: 1002  |  -Inf rejects: 0 (0.00%)
