==========================================================
  Yasso20  Chain 3 / 5
  Run ID:  20260526_131225
  Started: 2026-05-26 13:55:41.291331
  Plots:   447 | Iter: 5000 | Cores: 11
==========================================================

Initial ll at best_x: -11374.633

[13:55:47]  eval    20  |  ll: -10161.876  |  3.51 eval/s  |  0.1 min  |  -Inf: 0
[13:55:52]  eval    40  |  ll:  -9270.627  |  3.58 eval/s  |  0.2 min  |  -Inf: 0
[13:55:58]  eval    60  |  ll:  -7059.671  |  3.58 eval/s  |  0.3 min  |  -Inf: 0
[13:56:04]  eval    80  |  ll:  -7100.918  |  3.57 eval/s  |  0.4 min  |  -Inf: 0
[13:56:09]  eval   100  |  ll:  -7033.500  |  3.59 eval/s  |  0.5 min  |  -Inf: 0
[13:56:14]  eval   120  |  ll:  -6365.941  |  3.60 eval/s  |  0.6 min  |  -Inf: 0
[13:56:20]  eval   140  |  ll:  -6256.939  |  3.63 eval/s  |  0.6 min  |  -Inf: 0
[13:56:25]  eval   160  |  ll:  -6280.814  |  3.63 eval/s  |  0.7 min  |  -Inf: 0
[13:56:31]  eval   180  |  ll:  -6353.940  |  3.64 eval/s  |  0.8 min  |  -Inf: 0
[13:56:36]  eval   200  |  ll:  -6273.944  |  3.66 eval/s  |  0.9 min  |  -Inf: 0
[13:56:41]  eval   220  |  ll:  -6227.536  |  3.65 eval/s  |  1.0 min  |  -Inf: 0
[13:56:47]  eval   240  |  ll:  -6224.208  |  3.65 eval/s  |  1.1 min  |  -Inf: 0
[13:56:52]  eval   260  |  ll:  -6216.730  |  3.67 eval/s  |  1.2 min  |  -Inf: 0
[13:56:57]  eval   280  |  ll:  -6241.834  |  3.69 eval/s  |  1.3 min  |  -Inf: 0
[13:57:02]  eval   300  |  ll:  -6221.456  |  3.69 eval/s  |  1.4 min  |  -Inf: 0
[13:57:08]  eval   320  |  ll:  -6312.159  |  3.71 eval/s  |  1.4 min  |  -Inf: 0
[13:57:13]  eval   340  |  ll:  -6357.724  |  3.70 eval/s  |  1.5 min  |  -Inf: 0
[13:57:19]  eval   360  |  ll:  -6286.651  |  3.68 eval/s  |  1.6 min  |  -Inf: 0
[13:57:26]  eval   380  |  ll:  -6219.589  |  3.63 eval/s  |  1.7 min  |  -Inf: 0
[13:57:33]  eval   400  |  ll:  -6227.135  |  3.59 eval/s  |  1.9 min  |  -Inf: 0
[13:57:40]  eval   420  |  ll:  -6182.925  |  3.55 eval/s  |  2.0 min  |  -Inf: 0
[13:57:46]  eval   440  |  ll: -18249.286  |  3.51 eval/s  |  2.1 min  |  -Inf: 0
[13:57:53]  eval   460  |  ll:  -6453.306  |  3.48 eval/s  |  2.2 min  |  -Inf: 0
[13:58:00]  eval   480  |  ll:  -6181.658  |  3.46 eval/s  |  2.3 min  |  -Inf: 0
[13:58:05]  eval   500  |  ll:  -6215.770  |  3.47 eval/s  |  2.4 min  |  -Inf: 0
[13:58:10]  eval   520  |  ll:  -7545.232  |  3.48 eval/s  |  2.5 min  |  -Inf: 0
[13:58:16]  eval   540  |  ll:  -6195.760  |  3.49 eval/s  |  2.6 min  |  -Inf: 0
[13:58:21]  eval   560  |  ll:  -6177.949  |  3.50 eval/s  |  2.7 min  |  -Inf: 0
[13:58:27]  eval   580  |  ll:  -6203.696  |  3.50 eval/s  |  2.8 min  |  -Inf: 0
[13:58:32]  eval   600  |  ll:  -6427.484  |  3.51 eval/s  |  2.9 min  |  -Inf: 0
[13:58:38]  eval   620  |  ll:  -6177.987  |  3.50 eval/s  |  2.9 min  |  -Inf: 0
[13:58:44]  eval   640  |  ll:  -6168.522  |  3.51 eval/s  |  3.0 min  |  -Inf: 0
[13:58:49]  eval   660  |  ll:  -6173.332  |  3.51 eval/s  |  3.1 min  |  -Inf: 0
[13:58:54]  eval   680  |  ll:  -6239.578  |  3.52 eval/s  |  3.2 min  |  -Inf: 0
[13:59:00]  eval   700  |  ll:  -6218.211  |  3.53 eval/s  |  3.3 min  |  -Inf: 0
[13:59:05]  eval   720  |  ll:  -6226.120  |  3.53 eval/s  |  3.4 min  |  -Inf: 0
[13:59:11]  eval   740  |  ll:  -6324.032  |  3.53 eval/s  |  3.5 min  |  -Inf: 0
[13:59:16]  eval   760  |  ll:  -6344.671  |  3.54 eval/s  |  3.6 min  |  -Inf: 0
[13:59:21]  eval   780  |  ll: -10696.385  |  3.55 eval/s  |  3.7 min  |  -Inf: 0
[13:59:26]  eval   800  |  ll:  -6179.399  |  3.56 eval/s  |  3.7 min  |  -Inf: 0
[13:59:32]  eval   820  |  ll:  -6179.685  |  3.56 eval/s  |  3.8 min  |  -Inf: 0
[13:59:37]  eval   840  |  ll:  -6298.397  |  3.56 eval/s  |  3.9 min  |  -Inf: 0
[13:59:42]  eval   860  |  ll:  -6287.474  |  3.57 eval/s  |  4.0 min  |  -Inf: 0
[13:59:47]  eval   880  |  ll:  -6190.672  |  3.57 eval/s  |  4.1 min  |  -Inf: 0
[13:59:53]  eval   900  |  ll:  -6395.573  |  3.57 eval/s  |  4.2 min  |  -Inf: 0
[13:59:58]  eval   920  |  ll:  -6160.911  |  3.58 eval/s  |  4.3 min  |  -Inf: 0
[14:00:03]  eval   940  |  ll:  -6335.499  |  3.59 eval/s  |  4.4 min  |  -Inf: 0
[14:00:08]  eval   960  |  ll:  -6175.188  |  3.59 eval/s  |  4.5 min  |  -Inf: 0
[14:00:18]  eval   980  |  ll:  -6601.500  |  3.54 eval/s  |  4.6 min  |  -Inf: 0
[14:00:32]  eval  1000  |  ll:  -6165.498  |  3.44 eval/s  |  4.8 min  |  -Inf: 0
[14:00:44]  eval  1020  |  ll:  -6530.962  |  3.37 eval/s  |  5.0 min  |  -Inf: 0
[14:00:56]  eval  1040  |  ll:  -6165.169  |  3.31 eval/s  |  5.2 min  |  -Inf: 0
[14:01:08]  eval  1060  |  ll:  -6672.390  |  3.24 eval/s  |  5.5 min  |  -Inf: 0
[14:01:21]  eval  1080  |  ll:  -6285.947  |  3.18 eval/s  |  5.7 min  |  -Inf: 0
[14:01:34]  eval  1100  |  ll:  -6160.051  |  3.12 eval/s  |  5.9 min  |  -Inf: 0
[14:01:39]  eval  1120  |  ll:  -6175.768  |  3.13 eval/s  |  6.0 min  |  -Inf: 0
[14:01:45]  eval  1140  |  ll:  -6151.014  |  3.13 eval/s  |  6.1 min  |  -Inf: 0
[14:01:50]  eval  1160  |  ll:  -6164.302  |  3.14 eval/s  |  6.2 min  |  -Inf: 0
[14:01:56]  eval  1180  |  ll:  -6156.360  |  3.15 eval/s  |  6.2 min  |  -Inf: 0
[14:02:01]  eval  1200  |  ll:  -6172.127  |  3.16 eval/s  |  6.3 min  |  -Inf: 0
