nfi,field_period,midpoint_year,total_stock_Mm3,provenance
1,1921-1924,1922,1400,"Korhonen et al. 2024 text (recalculated with modern volume functions: '1.4 G m3')"
2,1936-1938,1937,1370,"Korhonen et al. 2024 Fig 10a (Total curve, digitized; +-~50)"
3,1951-1953,1952,1490,"Korhonen et al. 2024 Fig 10a (Total curve, digitized; +-~50)"
4,1960-1963,1962,1465,"Korhonen et al. 2024 Fig 10a (Total curve, digitized; +-~50)"
5,1964-1970,1967,1445,"Korhonen et al. 2024 Fig 10a (Total curve, digitized; +-~50)"
6,1971-1976,1973,1500,"Korhonen et al. 2024 Fig 10a (Total curve, digitized; +-~50)"
7,1977-1984,1980,1660,"Korhonen et al. 2024 Fig 10a (Total curve, digitized; +-~50)"
8,1986-1994,1990,1890,"Korhonen et al. 2024 Fig 10a (Total curve, digitized; +-~50)"
9,1996-2003,2000,2080,"Korhonen et al. 2024 Fig 10a (Total curve, digitized; +-~50)"
10,2004-2008,2006,2200,"Korhonen et al. 2024 Fig 10a (Total curve, digitized; +-~50)"
11,2009-2013,2011,2356,"Korhonen et al. 2024 (reported NFI11 total)"
12,2014-2018,2016,2475,"Korhonen et al. 2024 (NFI13 total 2552 - reported 77 M m3 NFI13-NFI12 gain)"
13,2019-2023,2021,2552,"Korhonen et al. 2024 Table 55 / text (current total, '2.6 G m3', SE 13)"
