year,ground_vegetation,harvest_residues,luc_transfer,natural_mortality,tree_litter,total_input_tree_basis_TgC_yr,total_input_all_TgC_yr
1922,8.1023,6.6725,-1.7177,0.9522,18.0172,25.6418,33.7441
1923,8.0544,6.6725,-1.7177,0.9522,18.113,25.7376,33.792
1924,8.0065,6.6725,-1.7177,0.9522,18.3036,25.9283,33.9347
1925,8.0065,7.0537,-1.7177,0.9522,18.3984,26.4044,34.4109
1926,8.0065,7.435,-1.7177,0.9522,18.3984,26.7857,34.7922
1927,7.9116,8.007,-1.7177,0.9522,18.3036,27.2628,35.1744
1928,7.8642,7.8163,-1.7177,0.9522,18.113,26.8815,34.7457
1929,7.8168,7.3392,-1.7177,0.9522,18.113,26.4044,34.2212
1930,7.7689,6.6725,-1.7177,0.9522,18.113,25.7376,33.5065
1931,7.721,6.0996,-1.7177,0.8564,18.113,25.0689,32.7899
1932,7.721,6.2912,-1.7177,0.8564,18.2078,25.3554,33.0764
1933,7.721,6.8631,-1.7177,0.8564,18.2078,25.9273,33.6483
1934,7.6261,7.8163,-1.7177,0.8564,18.2078,26.8805,34.5067
1935,7.5782,7.5308,-1.7177,0.8564,18.1126,26.4999,34.0781
1936,7.5304,7.8163,-1.7177,0.8564,18.0175,26.6902,34.2206
1937,7.5304,8.484,0.9522,0.8564,17.9223,27.2628,34.7931
1938,7.5304,7.3392,0.9522,0.8564,18.0172,26.2128,33.7432
1939,7.5623,6.386,0.9522,0.8564,18.2078,25.4502,33.0125
1940,7.5942,5.2422,0.9522,0.8564,18.3984,24.497,32.0912
1941,7.6261,5.9099,0.9522,0.8564,18.4942,25.2605,32.8867
1942,7.6261,5.8141,0.9522,0.8564,18.6849,25.3554,32.9815
1943,7.6261,6.0996,0.9522,0.8564,18.8755,25.8315,33.4577
1944,7.6736,5.4328,0.9522,0.8564,19.0662,25.3554,33.029
1945,7.721,5.9099,0.9522,0.8564,19.3517,26.118,33.839
1946,7.721,7.0537,0.9522,0.9043,19.4471,27.4052,35.1262
1947,7.721,7.1486,0.9522,0.9522,19.5426,27.6434,35.3644
1948,7.721,6.9579,0.9522,0.9522,19.6381,27.5483,35.2692
1949,7.7689,6.9579,0.9522,0.9522,19.8287,27.7389,35.5078
1950,7.8168,7.5308,0.9522,0.9522,19.9245,28.4076,36.2243
1951,7.8168,8.3882,0.9522,0.9522,19.8287,29.1692,36.986
1952,7.8642,7.2444,3.4306,0.9522,19.9242,28.1208,35.985
1953,7.9116,6.8631,3.4306,0.9522,20.0197,27.835,35.7466
1954,7.9591,7.9116,3.4306,0.9522,20.1152,28.979,36.9381
1955,8.0065,8.9602,3.4306,0.9522,20.0199,29.9322,37.9387
1956,8.0702,8.2934,3.4306,0.9522,19.9245,29.1701,37.2403
1957,8.1339,8.3882,3.4306,0.9522,19.9245,29.265,37.3989
1958,8.1976,8.3882,3.4306,0.9522,19.9245,29.265,37.4626
1959,8.2453,8.5789,3.4306,0.9043,19.8291,29.3123,37.5576
1960,8.2929,9.7228,3.4306,0.8564,19.7337,30.3129,38.6058
1961,8.3338,10.1998,3.4306,0.8564,19.6383,30.6945,39.0284
1962,8.3748,9.3415,3.4306,0.8564,19.5429,29.7408,38.1155
1963,8.4157,9.1508,3.4306,0.8564,19.4475,29.4547,37.8704
1964,8.4566,9.2466,3.4306,0.8564,19.3517,29.4547,37.9113
1965,8.4975,8.9602,3.4306,0.8564,19.3517,29.1683,37.6658
1966,8.5384,8.5789,-0.2874,0.8564,19.2568,28.6921,37.2306
1967,8.5794,8.5789,-0.2874,0.8564,19.3521,28.7874,37.3668
1968,8.5474,8.5789,-0.2874,0.8564,19.4475,28.8828,37.4302
1969,8.5155,9.1508,0.9522,0.8564,19.4475,29.4547,37.9702
1970,8.4836,9.3415,0.9522,0.8564,19.4475,29.6453,38.1289
1971,8.4836,8.7695,0.9522,0.8564,19.5432,29.1692,37.6528
1972,8.4836,8.7695,3.2399,0.8564,19.733,29.3589,37.8425
1973,8.5315,8.7695,3.2399,0.8564,19.8287,29.4547,37.9862
1974,8.5794,8.2934,3.2399,0.8564,20.0194,29.1692,37.7486
1975,8.5794,6.386,2.0961,0.8564,20.3049,27.5473,36.1267
1976,8.5794,6.386,2.0961,0.8564,20.8778,28.1202,36.6995
1977,8.6742,6.7673,2.0961,0.8564,21.1637,28.7874,37.4617
1978,8.6742,7.435,2.0961,0.8564,21.4497,29.7411,38.4153
1979,8.6742,9.056,1.8106,0.8564,21.6403,31.5527,40.2269
1980,8.7061,9.5321,1.8106,0.8564,21.831,32.2195,40.9256
1981,8.7381,8.8653,1.8106,0.8564,22.0216,31.7434,40.4814
1982,8.77,7.6257,1.8106,0.8564,22.3077,30.7898,39.5598
1983,8.8174,7.7215,2.8586,0.8564,22.5939,31.1717,39.9892
1984,8.8649,8.1976,2.8586,0.8564,22.88,31.934,40.7989
1985,8.8649,8.7695,2.8586,0.8564,22.9748,32.6008,41.4656
1986,8.8649,7.9112,2.8586,0.8564,23.2603,32.0279,40.8928
1987,8.9128,8.5789,2.8586,0.8564,23.4519,32.8872,41.8
1988,8.9606,9.1508,1.0471,0.8564,23.5468,33.554,42.5146
1989,8.9923,9.3415,1.0471,0.8564,23.5468,33.7446,42.7369
