"year","calibrated","pinned"
1985,66.076819104168,60.2380623466663
1986,66.2597661688705,60.3681220190502
1987,66.6002299341887,60.6958373923719
1988,66.7465696941892,60.7845562101563
1989,67.1222803375565,61.1459765187741
1990,68.1537098500933,62.2755852772644
1991,68.8490871179041,62.9329157203049
1992,70.5612056281874,64.8019133804096
1993,72.8092132628345,67.2735259408135
1994,71.7312547136795,65.5251400011832
1995,72.493079205687,66.2028909268256
1996,73.6455788177443,67.3594616713648
1997,75.0522618767024,68.7924047156515
1998,76.0740039250248,69.7036879122888
1999,76.3989836514856,69.7452920750617
2000,76.9733290241686,70.1462243147308
2001,77.3335565885417,70.3247460584242
2002,78.01871347432,70.9301161754202
2003,76.9229664215941,69.4034742280888
2004,77.8988471572947,70.4803229563377
2005,77.943645903828,70.3870726832877
2006,78.0782830765731,70.4061229252952
2007,76.7159687822793,68.7123687502191
2008,77.9610990127583,70.2142298032642
2009,79.2221105453463,71.6439549889372
2010,77.6880054999056,69.6639939854617
2011,74.5143504759875,66.0661678388091
2012,74.9820085201995,66.8754944765535
2013,74.8611945703864,66.8712133933702
2014,73.9125027693061,65.8624248922606
2015,74.3503964333433,66.4893045258762
2016,73.0910484730774,65.093500656713
2017,74.8038092359398,67.20608519852
2018,73.844051766552,66.0425026980761
2019,74.0592163281,66.3331666574905
2020,73.9971620169023,66.2824173644378
2021,73.3017479941664,65.5021436308477
2022,74.2720043097983,66.7008070973086
2023,74.8048835240239,67.2913767896341
2024,73.3589997376869,65.5451130362084
