"model","run_id","set","n_draws","q05","median","q95","n_obs"
"SP1","20260820_155430","calibration",100,44.1855467998548,47.173301321926,49.9058631534093,959
"SP1","20260820_155430","holdout",100,45.1704716176294,47.8171174379651,50.6340097198888,246
"TP2","20260820_155431","calibration",100,45.8169754727277,48.8535060715079,51.6258115805826,959
"TP2","20260820_155431","holdout",100,45.7895783376208,48.9914341474964,51.4957266742525,246
"TP3","20260820_155430","calibration",100,46.2616397973537,48.3282205514258,52.7499239467351,959
"TP3","20260820_155430","holdout",100,46.320731198918,48.5900471491944,52.2264804985266,246
"Yasso07","20260820_155430","calibration",100,45.786933559388,48.5535231967183,52.459334041129,959
"Yasso07","20260820_155430","holdout",100,46.155486364401,48.4129196409527,51.4491400123923,246
"Yasso15","20260820_155430","calibration",100,47.3713627675422,50.113711314618,55.7692069711953,959
"Yasso15","20260820_155430","holdout",100,45.3457865391691,47.2146346621461,51.4680926161556,246
"Yasso20","20260820_155433","calibration",100,46.4248871319177,49.0160386112254,52.7366295868512,959
"Yasso20","20260820_155433","holdout",100,45.4656953415276,47.5079476967427,50.6800948276896,246
