"model","run_id","set","n_draws","q05","median","q95","n_obs"
"SP1","20260813_080305","calibration",100,43.2821178525128,44.1799980531282,45.8189653706739,959
"SP1","20260813_080305","holdout",100,44.8586214192075,45.8702310662767,47.4531402568027,246
"TP2","20260813_080306","calibration",100,42.5892192213751,43.5957913008042,44.9568757506184,959
"TP2","20260813_080306","holdout",100,45.5197605160552,46.8245225762449,48.4222501893882,246
"TP3","20260813_080306","calibration",100,42.7663912087921,43.6297181723243,44.9428154050984,959
"TP3","20260813_080306","holdout",100,45.7435789906541,46.8749332859056,48.3685339073952,246
"Yasso07","20260814_105614","calibration",100,42.8304878897164,43.7027235487549,44.6850832476403,959
"Yasso07","20260814_105614","holdout",100,44.6361702184377,45.4853552521055,46.5342191366039,246
"Yasso15","20260814_105757","calibration",100,43.1774060097476,44.1626309967674,45.486388045516,959
"Yasso15","20260814_105757","holdout",100,43.7385006313543,44.380928085026,45.4388817927569,246
"Yasso20","20260814_105907","calibration",100,43.2007222212212,44.3600950721262,45.8355558917842,959
"Yasso20","20260814_105907","holdout",100,44.3616888416724,45.1410649622571,46.3640503023105,246
