"plot_id","year","month","C_nwl_A","C_nwl_W","C_nwl_E","C_nwl_N","C_fwl_A","C_fwl_W","C_fwl_E","C_fwl_N","C_cwl_A","C_cwl_W","C_cwl_E","C_cwl_N","temp_air","precip","evap","soc_obs_tCha"
"PLOT_001",2000,1,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-8.6,32.6,5,NA
"PLOT_001",2000,2,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-6.6,30.3,5,NA
"PLOT_001",2000,3,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-1.8,42.8,5,NA
"PLOT_001",2000,4,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,2.4,39.2,18,NA
"PLOT_001",2000,5,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,8.9,55.5,33.7,NA
"PLOT_001",2000,6,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,15,41.4,46.8,NA
"PLOT_001",2000,7,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,16.7,70.8,53.5,57.6
"PLOT_001",2000,8,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,13.8,80.6,59.6,NA
"PLOT_001",2000,9,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,8.9,61.7,39.3,NA
"PLOT_001",2000,10,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,2.6,66.7,14.6,NA
"PLOT_001",2000,11,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-1.9,42.1,5,NA
"PLOT_001",2000,12,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-8.1,46.4,5,NA
"PLOT_001",2001,1,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-8.5,35.9,5,NA
"PLOT_001",2001,2,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-5.8,44.4,5,NA
"PLOT_001",2001,3,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-2.4,21.5,5,NA
"PLOT_001",2001,4,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,3.1,42,19.7,NA
"PLOT_001",2001,5,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,9.7,33.3,43,NA
"PLOT_001",2001,6,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,13.5,55,58.8,NA
"PLOT_001",2001,7,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,14.8,67.5,54.7,NA
"PLOT_001",2001,8,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,13.6,80,61.9,NA
"PLOT_001",2001,9,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,9.5,57.1,42.6,NA
"PLOT_001",2001,10,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,1.4,63.8,18.4,NA
"PLOT_001",2001,11,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-2.3,51.4,5,NA
"PLOT_001",2001,12,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-8.4,44.2,5,NA
"PLOT_001",2002,1,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-7.8,37.2,5,NA
"PLOT_001",2002,2,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-6.6,37,5,NA
"PLOT_001",2002,3,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-2.3,37.5,5,NA
"PLOT_001",2002,4,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,2.3,45.4,19.5,NA
"PLOT_001",2002,5,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,11.3,56.6,42.5,NA
"PLOT_001",2002,6,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,13,63.8,52.2,NA
"PLOT_001",2002,7,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,13.7,64.6,63.3,NA
"PLOT_001",2002,8,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,12.9,51.8,46.8,NA
"PLOT_001",2002,9,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,11.4,44.9,36.2,NA
"PLOT_001",2002,10,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,4,60.2,26.3,NA
